Subject,Measure,Frequency,TIME,Time,Unit,Value
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2015-01,Jan-15,Percentage,-1.989619
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2015-02,Feb-15,Percentage,0.9930487
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2015-03,Mar-15,Percentage,0
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2015-04,Apr-15,Percentage,-0.3933137
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2015-05,May-15,Percentage,0.1974334
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2015-06,Jun-15,Percentage,-0.4926108
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2015-07,Jul-15,Percentage,-0.8910891
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2015-08,Aug-15,Percentage,-0.7992008
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2015-09,Sep-15,Percentage,-0.3021148
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2015-10,Oct-15,Percentage,-0.5050505
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2015-11,Nov-15,Percentage,-0.1015228
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2015-12,Dec-15,Percentage,-1.626016
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2016-01,Jan-16,Percentage,-1.446281
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2016-02,Feb-16,Percentage,-0.3144654
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2016-03,Mar-16,Percentage,0.6309148
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2016-04,Apr-16,Percentage,-0.2089864
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2016-05,May-16,Percentage,0.5235602
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2016-06,Jun-16,Percentage,0.3125
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2016-07,Jul-16,Percentage,-0.7268951
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2016-08,Aug-16,Percentage,-0.41841
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2016-09,Sep-16,Percentage,0.105042
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2016-10,Oct-16,Percentage,0.8394544
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2016-11,Nov-16,Percentage,-0.6243497
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2016-12,Dec-16,Percentage,1.04712
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2017-01,Jan-17,Percentage,0.1036269
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2017-02,Feb-17,Percentage,0.310559
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2017-03,Mar-17,Percentage,-0.3095975
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2017-04,Apr-17,Percentage,0.2070393
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2017-05,May-17,Percentage,-0.6198347
"CPI: 04.5 - CPI Electricity, gas and other fuels",Percentage change from previous period,Monthly,2017-06,Jun-17,Percentage,-0.4158004
