Subject,Measure,Frequency,TIME,Time,Unit,Value
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2015-01,Jan-15,Index,100.7
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2015-02,Feb-15,Index,101.7
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2015-03,Mar-15,Index,101.7
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2015-04,Apr-15,Index,101.3
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2015-05,May-15,Index,101.5
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2015-06,Jun-15,Index,101
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2015-07,Jul-15,Index,100.1
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2015-08,Aug-15,Index,99.3
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2015-09,Sep-15,Index,99
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2015-10,Oct-15,Index,98.5
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2015-11,Nov-15,Index,98.4
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2015-12,Dec-15,Index,96.8
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2016-01,Jan-16,Index,95.4
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2016-02,Feb-16,Index,95.1
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2016-03,Mar-16,Index,95.7
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2016-04,Apr-16,Index,95.5
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2016-05,May-16,Index,96
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2016-06,Jun-16,Index,96.3
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2016-07,Jul-16,Index,95.6
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2016-08,Aug-16,Index,95.2
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2016-09,Sep-16,Index,95.3
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2016-10,Oct-16,Index,96.1
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2016-11,Nov-16,Index,95.5
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2016-12,Dec-16,Index,96.5
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2017-01,Jan-17,Index,96.6
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2017-02,Feb-17,Index,96.9
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2017-03,Mar-17,Index,96.6
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2017-04,Apr-17,Index,96.8
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2017-05,May-17,Index,96.2
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2017-06,Jun-17,Index,95.8
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2017-07,Jul-17,Index,95.8
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2017-08,Aug-17,Index,95.9
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2017-09,Sep-17,Index,96.5
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2017-10,Oct-17,Index,96.8
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2017-11,Nov-17,Index,97.3
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2017-12,Dec-17,Index,97.5
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2018-01,Jan-18,Index,98
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2018-02,Feb-18,Index,97.4
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2018-03,Mar-18,Index,97.4
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2018-04,Apr-18,Index,98.2
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2018-05,May-18,Index,99
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2018-06,Jun-18,Index,98.9
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2018-07,Jul-18,Index,98.9
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2018-08,Aug-18,Index,99.4
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2018-09,Sep-18,Index,100.7
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2018-10,Oct-18,Index,101.7
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2018-11,Nov-18,Index,102.7
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2018-12,Dec-18,Index,100.4
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2019-01,Jan-19,Index,101.2
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2019-02,Feb-19,Index,101.6
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2019-03,Mar-19,Index,101.9
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2019-04,Apr-19,Index,102.4
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2019-05,May-19,Index,102.8
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2019-06,Jun-19,Index,102
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2019-07,Jul-19,Index,102.4
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2019-08,Aug-19,Index,102.2
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2019-09,Sep-19,Index,102.7
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2019-10,Oct-19,Index,102.7
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2019-11,Nov-19,Index,102.7
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2019-12,Dec-19,Index,102.8
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2020-01,Jan-20,Index,103.7
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2020-02,Feb-20,Index,103.8017
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2020-03,Mar-20,Index,103.395
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2020-04,Apr-20,Index,103.1917
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2020-05,May-20,Index,102.785
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2020-06,Jun-20,Index,102.48
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2020-07,Jul-20,Index,100.65
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2020-08,Aug-20,Index,100.4467
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2020-09,Sep-20,Index,99.93833
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2020-10,Oct-20,Index,99.83667
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2020-11,Nov-20,Index,99.63333
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2020-12,Dec-20,Index,100.1417
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2021-01,Jan-21,Index,102.3783
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2021-02,Feb-21,Index,102.6833
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2021-03,Mar-21,Index,102.9883
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2021-04,Apr-21,Index,102.785
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2021-05,May-21,Index,102.9883
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2021-06,Jun-21,Index,103.2933
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2021-07,Jul-21,Index,103.5983
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2021-08,Aug-21,Index,103.8017
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2021-09,Sep-21,Index,104.4117
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2021-10,Oct-21,Index,106.445
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2021-11,Nov-21,Index,107.665
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2021-12,Dec-21,Index,108.1733
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2022-01,Jan-22,Index,117.0183
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2022-02,Feb-22,Index,120.5767
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2022-03,Mar-22,Index,131.0483
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2022-04,Apr-22,Index,131.8617
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2022-05,May-22,Index,135.3183
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2022-06,Jun-22,Index,138.5717
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2022-07,Jul-22,Index,138.165
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2022-08,Aug-22,Index,142.2317
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2022-09,Sep-22,Index,148.9417
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2022-10,Oct-22,Index,156.5667
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2022-11,Nov-22,Index,158.295
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2022-12,Dec-22,Index,141.3167
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2023-01,Jan-23,Index,159.7183
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2023-02,Feb-23,Index,159.4133
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2023-03,Mar-23,Index,159.7183
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2023-04,Apr-23,Index,159.7183
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2023-05,May-23,Index,158.8033
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2023-06,Jun-23,Index,157.99
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2023-07,Jul-23,Index,157.4817
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2023-08,Aug-23,Index,158.4983
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2023-09,Sep-23,Index,158.295
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2023-10,Oct-23,Index,156.6683
"CPI: 04.5 - CPI Electricity, gas and other fuels",Index,Monthly,2023-11,Nov-23,Index,154.025
