month,natural_gas_import
2019-01,30446.0
2019-02,27116.0
2019-03,29156.0
2019-04,28034.0
2019-05,27921.0
2019-06,24506.0
2019-07,21074.0
2019-08,22564.0
2019-09,22692.0
2019-10,25848.0
2019-11,28526.0
2019-12,29910.0
2020-01,30658.192
2020-02,27943.478
2020-03,28016.06
2020-04,26005.703999999998
2020-05,25536.894000000004
2020-06,24111.789999999997
2020-07,19193.424
2020-08,23725.822000000004
2020-09,24382.21
2020-10,26056.744
2020-11,27375.152
2020-12,27979.838
2021-01,27420.806000000004
2021-02,25855.086
2021-03,29877.982
2021-04,28724.394
2021-05,27498.588
2021-06,24175.521999999997
2021-07,20886.068
2021-08,22652.842
2021-09,24147.25
2021-10,24860.275999999998
2021-11,25642.582
2021-12,27164.499999999996
2022-01,27001.090000000004
2022-02,25120.228
2022-03,27751.972
2022-04,29012.703999999998
2022-05,26595.400000000005
2022-06,21976.176
2022-07,19326.434
2022-08,19062.946
2022-09,16318.454
2022-10,18946.508
2022-11,17949.422
2022-12,18187.104
2023-01,18382.688
2023-02,16762.394
2023-03,16955.552000000003
2023-04,17352.304
2023-05,17137.44
2023-06,13075.646
2023-07,13309.444
2023-08,12854.188
2023-09,9532.720000000001
2023-10,13792.248
2023-11,15946.002
2023-12,9547.812
2024-01,8889.845
2024-02,7785.195
