Unit MaStR Number,Postal Code,Longitude,Latitude,Gross Power (kW),Net Rated Power (kW),Generation MaStR Number,Name of Wind Farm,Location,Hub Height (m),Rotor Diameter (m),EEG MaStR Number,Date of Final Decommissioning,North Sea Cluster,Baltic Sea Cluster
SEE940146675093,34298,9.739374,51.270068,3000,3000,SGE961876398816,Windpark Kreuzstein,888,149.08,115.71,EEG951718125489,,,
SEE973767078653,23824,10.2994,54.073831,3000,3000,SGE918200258391,Damsdorf,888,135.4,115.7,EEG912885854947,,,
SEE914108319653,34298,9.733069,51.272164,3000,3000,SGE961876398816,Windpark Kreuzstein,888,149.08,115.71,EEG996216581153,,,
SEE982417853618,34298,9.748361,51.270462,3000,3000,SGE961876398816,Windpark Kreuzstein,888,149.08,115.71,EEG926639129328,,,
SEE913741454097,52525,6.045546,51.029548,2400,2400,SGE950157614196,Windpark Heinsberg P??tt,888,120,116.8,EEG982767300077,,,
SEE900290686291,25709,8.971423,53.953022,2350,2350,SGE968602490752,Kronprinzenkoog P??ttenfleth,888,85,92,EEG983813926739,,,
SEE901069753206,64823,8.977337,49.876166,1000,1000,SGE930080536406,Windpark Binselberg,888,70,54,EEG993026384028,,,
SEE978389475514,56761,7.239221,50.252081,3300,3300,SGE988486129500,WP Kaifenheim,888,119,112,EEG969964265811,,,
SEE975973981666,90616,10.660917,49.432306,3300,3300,SGE976760915772,Windpark Neuhof,888,137,126,EEG993882704060,,,
SEE987713232792,35066,8.877135,51.050636,600,600,,D??rnholzhausen-Wind,888,60,43,EEG925102401008,,,
SEE906295197954,25813,8.984462,54.44186,3075,3075,SGE948544256371,Energiepark Simonsberg,888,84,112,EEG965469906112,,,
SEE959128063063,33178,8.792204,51.622425,3000,3000,SGE929054882038,WestfalenWIND Etteln GmbH ??? Co. KG,888,149.08,115.71,EEG987164171916,,,
SEE923802377883,78183,8.592151,47.881949,5700,5700,SGE969844675464,Windpark L??nge,888,164,163,,,,
SEE949984955732,57334,8.380022,50.890265,3075,3075,SGE937682639740,Wittgenstein New Energy,888,140,112,EEG934616561436,,,
SEE954944337220,24217,10.404352,54.359746,1750,1750,SGE988643478618,VR002006,888,67,66,EEG929092973989,,,
SEE950179793688,78183,8.597642,47.880898,5700,5700,SGE969844675464,Windpark L??nge,888,164,163,,,,
SEE948219812307,17391,13.426895,53.883993,3050,3050,SGE966259971204,Windpark Neetzow-Liepen,888,99,101,EEG985279937212,,,
SEE969490244571,24217,10.402225,54.357637,1750,1750,SGE972694900624,VR002006,888,67,66,EEG909135457454,,,
SEE922570521054,24217,10.405882,54.355883,2000,2000,SGE934756958134,VR002006,888,59,82,EEG982308235394,,,
SEE975554042434,37434,10.153584,51.612171,3600,3600,SGE988012094685,Windpark Bodensee,888,166,136,EEG981229097937,,,
SEE990997372290,97199,10.033514,49.6057,2000,2000,SGE961083726495,Windpark Hopferstadt,888,125,90,EEG906495847895,,,
SEE926034105682,78183,8.604953,47.881193,5700,5700,SGE969844675464,Windpark L??nge,888,164,163,,,,
SEE971087087461,78183,8.599871,47.890047,5700,5700,SGE969844675464,Windpark L??nge,888,164,163,,,,
SEE910634021237,78166,8.60723,47.890135,5700,5700,SGE969844675464,Windpark L??nge,888,164,163,,,,
SEE993918975099,78166,8.614181,47.889817,5700,5700,SGE969844675464,Windpark L??nge,888,164,163,,,,
SEE900136703434,48369,7.614904,52.204128,3050,3050,SGE910629914599,Windpool Saerbeck GmbH ??? Co. KG,888,149,101,EEG925412998403,,,
SEE975697581166,48369,7.617248,52.201597,3050,3050,SGE910629914599,Windpool Saerbeck GmbH ??? Co. KG,888,149,101,EEG946694602895,,,
SEE964274163000,78132,8.255743,48.233353,1000,1000,,Reichenbach,888,110,54,EEG945745813839,,,
SEE901944891672,48683,6.990278,52.109722,600,600,,Tante Emma Tacke,888,60,46,EEG977849667223,,,
SEE962097502426,57612,7.725945,50.694,250,250,,KROWI,888,42,30,EEG964589147269,,,
SEE913476607737,29386,10.591174,52.749314,600,600,,Obernholz,888,70,46,EEG981014658145,,,
SEE901953720864,54298,6.313417,49.513993,2000,2000,SGE975954317828,WP-Gilzem,888,105,90,EEG999811867899,,,
SEE946913378938,23738,10.943881,54.236897,660,660,SGE975621807744,Windpark Koselau,888,65,47,EEG983288700209,3/1/2021,,
SEE936077126704,23738,10.945197,54.2346,660,660,SGE975621807744,Windpark Koselau,888,65,47,EEG981721255194,3/1/2021,,
SEE976480356336,23738,10.946528,54.232303,660,660,SGE975621807744,Windpark Koselau,888,65,47,EEG911515114789,3/1/2021,,
SEE917334783236,23738,10.948439,54.230136,660,660,SGE975621807744,Windpark Koselau,888,65,47,EEG993609743105,3/1/2021,,
SEE949293116329,23738,10.953019,54.228461,660,660,SGE975621807744,Windpark Koselau,888,65,47,EEG957842767977,3/1/2021,,
SEE905630482274,39343,11.465,52.176389,2500,2500,SGE930564453144,Gro?? Santersleben III,888,100,100,EEG929161321895,,,
SEE909799533297,26506,7.099,53.575,300,300,,WKA Waterwarf,888,31,31,EEG997290329105,,,
