generator:output:electricity,manufacturer,model,name,longitude,latitude
2.3 MW,Enercon,E-82 E2,Windpark Schöneck Gelber Berg 2,8.87457498391673,50.2075376184583
2.3 MW,Enercon,E-82 E2,Windpark Schöneck Gelber Berg 1,8.86856973783213,50.209178472137566
2.3 MW,Enercon,E-82 E2,Windpark Schöneck Gelber Berg 4,8.87686050197845,50.20288506415275
2.3 MW,Enercon,E-82 E2,Windpark Schöneck Gelber Berg 3,8.882463139265553,50.205920648865
1500 kW,,,Windenergieanlage Hinterbreitenthann,10.354122116973368,49.21958304864953
2000 kW,Enercon,,Windkraftanlage Ingersheim,9.171639461744263,48.97436606489652
2 MW,Enercon,E-82-2MW,Windpark Schöneck Galgenberg 3,8.86627983722115,50.189642544242226
2 MW,Enercon,E-82-2MW,Windpark Schöneck Galgenberg 2,8.86360955365653,50.187328073645894
2 MW,Enercon,E-82-2MW,Windpark Schöneck Galgenberg 1,8.859765752506807,50.18239652512316
3 MW,Enercon,E-101,Windpark Schöneck Galgenberg 5,8.852542062557104,50.18341100153797
3 MW,Enercon,E-101,Windpark Schöneck Galgenberg 4,8.86411160929607,50.18446152611039
500 kW,Enercon GmbH,Enercon E40,Windkraftanlage Grüner Heiner,9.097441112219968,48.83095188335461
,,,,6.258655267335243,51.82878709761222
,,,,8.598945646916796,51.92821684954577
2.3 MW,Enercon,,,9.291424114504359,50.659953573197015
,,,,11.777417979162065,50.39622876632389
,,,,11.772419089213527,50.39235972471003
,,,,11.780125026463049,50.39460869097653
,,,,11.773053030140641,50.39635994560668
,,,,11.767839188476202,50.394165430608695
,,,,11.775922331325324,50.393269517226365
,,,Windpark Blaues Eck WKA 4,9.40544281052608,50.444588737963
,,,Windpark Blaues Eck WKA 7,9.409864923318182,50.441687901271166
1.5 MW,Enercon,E-66,EVA-2,9.973504088452499,51.50096781874234
600 kW,AN Bonus,Bonus 44,,9.750244798889728,51.52391076785002
600 kW,AN Bonus,Bonus 44-2,WKA 1 / Dransfeld-Imbsen 1,9.74507182801439,51.51346460605319
600 kW,AN Bonus,Bonus 44,,9.747290609446488,51.524742757369964
1.0 MW,AN Bonus,Bonus 54,WKA 2 / Dransfeld-Imbsen 2,9.745046443370331,51.51571275107245
600 kW,AN Bonus,Bonus 44,,9.750706503567528,51.525313148214536
,,,,9.748463029451246,51.515059761901355
600 kW,AN Bonus,Bonus 44,,9.747923600000004,51.52653490000001
,Enercon,,,9.747949020950202,51.512581771521
yes,,,,7.225328492511771,51.88616671048779
3 MW,Enercon,E-115,WKA 3 / Dransfeld 3,9.744077277352508,51.51156462853471
,,,WKA 1,9.502899388662708,50.72250379802934
,,,WKA 2,9.505863103721426,50.72668578751634
,,,WKA 4,9.508349529001599,50.73466177146681
,,,WKA 3,9.507511666636345,50.73086896361554
,,,WKA 5,9.52334710286905,50.73909060581672
