Month,Gross Power (kW)_all,Gross Power (kW)_onshore,Gross Power (kW)_offshore
1983-11-01,55.0,55.0,0.0
1983-12-01,55.0,55.0,0.0
1984-01-01,55.0,55.0,0.0
1984-02-01,55.0,55.0,0.0
1984-03-01,55.0,55.0,0.0
1984-04-01,55.0,55.0,0.0
1984-05-01,55.0,55.0,0.0
1984-06-01,55.0,55.0,0.0
1984-07-01,55.0,55.0,0.0
1984-08-01,55.0,55.0,0.0
1984-09-01,55.0,55.0,0.0
1984-10-01,55.0,55.0,0.0
1984-11-01,55.0,55.0,0.0
1984-12-01,55.0,55.0,0.0
1985-01-01,55.0,55.0,0.0
1985-02-01,55.0,55.0,0.0
1985-03-01,55.0,55.0,0.0
1985-04-01,55.0,55.0,0.0
1985-05-01,55.0,55.0,0.0
1985-06-01,55.0,55.0,0.0
1985-07-01,55.0,55.0,0.0
1985-08-01,55.0,55.0,0.0
1985-09-01,75.0,75.0,0.0
1985-10-01,75.0,75.0,0.0
1985-11-01,75.0,75.0,0.0
1985-12-01,75.0,75.0,0.0
1986-01-01,75.0,75.0,0.0
1986-02-01,75.0,75.0,0.0
1986-03-01,75.0,75.0,0.0
1986-04-01,75.0,75.0,0.0
1986-05-01,75.0,75.0,0.0
1986-06-01,75.0,75.0,0.0
1986-07-01,75.0,75.0,0.0
1986-08-01,75.0,75.0,0.0
1986-09-01,75.0,75.0,0.0
1986-10-01,75.0,75.0,0.0
1986-11-01,75.0,75.0,0.0
1986-12-01,75.0,75.0,0.0
1987-01-01,75.0,75.0,0.0
1987-02-01,140.0,140.0,0.0
1987-03-01,140.0,140.0,0.0
1987-04-01,140.0,140.0,0.0
1987-05-01,140.0,140.0,0.0
1987-06-01,140.0,140.0,0.0
1987-07-01,140.0,140.0,0.0
1987-08-01,140.0,140.0,0.0
1987-09-01,140.0,140.0,0.0
1987-10-01,140.0,140.0,0.0
1987-11-01,140.0,140.0,0.0
1987-12-01,140.0,140.0,0.0
1988-01-01,140.0,140.0,0.0
1988-02-01,140.0,140.0,0.0
1988-03-01,390.0,390.0,0.0
1988-04-01,390.0,390.0,0.0
1988-05-01,390.0,390.0,0.0
1988-06-01,390.0,390.0,0.0
1988-07-01,390.0,390.0,0.0
1988-08-01,465.0,465.0,0.0
1988-09-01,465.0,465.0,0.0
1988-10-01,540.0,540.0,0.0
1988-11-01,540.0,540.0,0.0
1988-12-01,540.0,540.0,0.0
1989-01-01,740.0,740.0,0.0
1989-02-01,740.0,740.0,0.0
1989-03-01,740.0,740.0,0.0
1989-04-01,740.0,740.0,0.0
1989-05-01,740.0,740.0,0.0
1989-06-01,740.0,740.0,0.0
1989-07-01,740.0,740.0,0.0
1989-08-01,820.0,820.0,0.0
1989-09-01,1186.0,1186.0,0.0
1989-10-01,1186.0,1186.0,0.0
1989-11-01,1386.0,1386.0,0.0
1989-12-01,1441.0,1441.0,0.0
1990-01-01,1766.0,1766.0,0.0
1990-02-01,1766.0,1766.0,0.0
1990-03-01,1766.0,1766.0,0.0
1990-04-01,1766.0,1766.0,0.0
1990-05-01,1766.0,1766.0,0.0
1990-06-01,2066.0,2066.0,0.0
1990-07-01,2066.0,2066.0,0.0
1990-08-01,2066.0,2066.0,0.0
1990-09-01,2166.0,2166.0,0.0
1990-10-01,2241.0,2241.0,0.0
1990-11-01,2546.0,2546.0,0.0
1990-12-01,5806.0,5806.0,0.0
1991-01-01,6456.0,6456.0,0.0
1991-02-01,7421.0,7421.0,0.0
1991-03-01,7421.0,7421.0,0.0
1991-04-01,7501.0,7501.0,0.0
1991-05-01,8301.0,8301.0,0.0
1991-06-01,8381.0,8381.0,0.0
1991-07-01,8961.0,8961.0,0.0
1991-08-01,10591.0,10591.0,0.0
1991-09-01,10821.0,10821.0,0.0
1991-10-01,11196.0,11196.0,0.0
1991-11-01,11456.0,11456.0,0.0
1991-12-01,12436.0,12436.0,0.0
1992-01-01,13889.0,13889.0,0.0
1992-02-01,14039.0,14039.0,0.0
1992-03-01,14439.0,14439.0,0.0
1992-04-01,15939.0,15939.0,0.0
1992-05-01,17344.0,17344.0,0.0
1992-06-01,18254.0,18254.0,0.0
1992-07-01,19259.0,19259.0,0.0
1992-08-01,21074.0,21074.0,0.0
1992-09-01,22399.0,22399.0,0.0
1992-10-01,23959.0,23959.0,0.0
1992-11-01,25539.0,25539.0,0.0
1992-12-01,27614.0,27614.0,0.0
1993-01-01,29134.0,29134.0,0.0
1993-02-01,30174.0,30174.0,0.0
1993-03-01,33669.0,33669.0,0.0
1993-04-01,40349.0,40349.0,0.0
1993-05-01,44794.0,44794.0,0.0
1993-06-01,47394.0,47394.0,0.0
1993-07-01,49569.0,49569.0,0.0
1993-08-01,51899.0,51899.0,0.0
1993-09-01,55179.0,55179.0,0.0
1993-10-01,56839.0,56839.0,0.0
1993-11-01,61689.0,61689.0,0.0
1993-12-01,65994.0,65994.0,0.0
1994-01-01,74404.0,74404.0,0.0
1994-02-01,81979.0,81979.0,0.0
1994-03-01,84379.0,84379.0,0.0
1994-04-01,89511.0,89511.0,0.0
1994-05-01,97281.0,97281.0,0.0
1994-06-01,105491.0,105491.0,0.0
1994-07-01,110976.0,110976.0,0.0
1994-08-01,119906.0,119906.0,0.0
1994-09-01,126621.0,126621.0,0.0
1994-10-01,138066.0,138066.0,0.0
1994-11-01,158916.0,158916.0,0.0
1994-12-01,166148.0,166148.0,0.0
1995-01-01,187948.0,187948.0,0.0
1995-02-01,203848.0,203848.0,0.0
1995-03-01,223843.0,223843.0,0.0
1995-04-01,245233.0,245233.0,0.0
1995-05-01,255028.0,255028.0,0.0
1995-06-01,278673.0,278673.0,0.0
1995-07-01,299798.0,299798.0,0.0
1995-08-01,320238.0,320238.0,0.0
1995-09-01,339928.0,339928.0,0.0
1995-10-01,355663.0,355663.0,0.0
1995-11-01,382483.0,382483.0,0.0
1995-12-01,412218.8,412218.8,0.0
1996-01-01,444958.8,444958.8,0.0
1996-02-01,458413.8,458413.8,0.0
1996-03-01,467163.8,467163.8,0.0
1996-04-01,476433.8,476433.8,0.0
1996-05-01,496983.8,496983.8,0.0
1996-06-01,509590.8,509590.8,0.0
1996-07-01,530084.8,530084.8,0.0
1996-08-01,542183.8,542183.8,0.0
1996-09-01,552633.8,552633.8,0.0
1996-10-01,571688.8,571688.8,0.0
1996-11-01,602286.8,602286.8,0.0
1996-12-01,630016.8,630016.8,0.0
1997-01-01,661081.8,661081.8,0.0
1997-02-01,674781.8,674781.8,0.0
1997-03-01,699211.8,699211.8,0.0
1997-04-01,720811.8,720811.8,0.0
1997-05-01,739456.8,739456.8,0.0
1997-06-01,754056.8,754056.8,0.0
1997-07-01,776546.8,776546.8,0.0
1997-08-01,793026.8,793026.8,0.0
1997-09-01,813426.8,813426.8,0.0
1997-10-01,831676.8,831676.8,0.0
1997-11-01,850676.8,850676.8,0.0
1997-12-01,877876.8,877876.8,0.0
1998-01-01,934076.8,934076.8,0.0
1998-02-01,950126.8,950126.8,0.0
1998-03-01,1022526.8,1022526.8,0.0
1998-04-01,1062626.8,1062626.8,0.0
1998-05-01,1085686.8,1085686.8,0.0
1998-06-01,1102986.8,1102986.8,0.0
1998-07-01,1126931.8,1126931.8,0.0
